Data,Otwarcie,Najwyższy,Najniższy,Zamknięcie,Ticker
2013-03-14,3.12,3.12,3.12,3.12,WIBID_ON
2013-03-13,3.4,3.4,3.4,3.4,WIBOR_ON
2013-03-13,3.48,3.48,3.48,3.48,WIBOR_6M
2013-03-13,3.46,3.46,3.46,3.46,WIBOR_3M
2013-03-13,3.41,3.41,3.41,3.41,WIBOR_1M
2013-03-13,3.13,3.13,3.13,3.13,WIBID_ON
2013-03-12,3.44,3.44,3.44,3.44,WIBOR_ON
2013-03-12,3.48,3.48,3.48,3.48,WIBOR_6M
2013-03-12,3.46,3.46,3.46,3.46,WIBOR_3M
2013-03-12,3.42,3.42,3.42,3.42,WIBOR_1M
2013-03-12,3.17,3.17,3.17,3.17,WIBID_ON
2013-03-11,3.46,3.46,3.46,3.46,WIBOR_ON
2013-03-11,3.48,3.48,3.48,3.48,WIBOR_6M
2013-03-11,3.46,3.46,3.46,3.46,WIBOR_3M
2013-03-11,3.43,3.43,3.43,3.43,WIBOR_1M
2013-03-11,3.19,3.19,3.19,3.19,WIBID_ON
2013-03-08,3.5,3.5,3.5,3.5,WIBOR_ON
2013-03-08,3.49,3.49,3.49,3.49,WIBOR_6M
2013-03-08,3.46,3.46,3.46,3.46,WIBOR_3M
2013-03-08,3.44,3.44,3.44,3.44,WIBOR_1M
2013-03-08,3.2,3.2,3.2,3.2,WIBID_ON
2013-03-07,3.5,3.5,3.5,3.5,WIBOR_ON
2013-03-07,3.5,3.5,3.5,3.5,WIBOR_6M
2013-03-07,3.47,3.47,3.47,3.47,WIBOR_3M
2013-03-07,3.45,3.45,3.45,3.45,WIBOR_1M
2013-03-07,3.2,3.2,3.2,3.2,WIBID_ON
2013-03-06,3.88,3.88,3.88,3.88,WIBOR_ON
2013-03-06,3.65,3.65,3.65,3.65,WIBOR_6M
2013-03-06,3.71,3.71,3.71,3.71,WIBOR_3M
2013-03-06,3.79,3.79,3.79,3.79,WIBOR_1M
2013-03-06,3.59,3.59,3.59,3.59,WIBID_ON
2013-03-05,3.88,3.88,3.88,3.88,WIBOR_ON
2013-03-05,3.66,3.66,3.66,3.66,WIBOR_6M
2013-03-05,3.72,3.72,3.72,3.72,WIBOR_3M
2013-03-05,3.8,3.8,3.8,3.8,WIBOR_1M
2013-03-05,3.6,3.6,3.6,3.6,WIBID_ON
2013-03-04,3.88,3.88,3.88,3.88,WIBOR_ON
2013-03-04,3.66,3.66,3.66,3.66,WIBOR_6M
2013-03-04,3.73,3.73,3.73,3.73,WIBOR_3M
2013-03-04,3.8,3.8,3.8,3.8,WIBOR_1M
2013-03-04,3.6,3.6,3.6,3.6,WIBID_ON
2013-03-01,3.88,3.88,3.88,3.88,WIBOR_ON
2013-03-01,3.66,3.66,3.66,3.66,WIBOR_6M
2013-03-01,3.73,3.73,3.73,3.73,WIBOR_3M
2013-03-01,3.8,3.8,3.8,3.8,WIBOR_1M
2013-03-01,3.59,3.59,3.59,3.59,WIBID_ON
2013-02-28,3.87,3.87,3.87,3.87,WIBOR_ON
2013-02-28,3.67,3.67,3.67,3.67,WIBOR_6M
2013-02-28,3.73,3.73,3.73,3.73,WIBOR_3M
2013-02-28,3.8,3.8,3.8,3.8,WIBOR_1M
2013-02-28,3.59,3.59,3.59,3.59,WIBID_ON
2013-02-27,3.87,3.87,3.87,3.87,WIBOR_ON
2013-02-27,3.68,3.68,3.68,3.68,WIBOR_6M
2013-02-27,3.74,3.74,3.74,3.74,WIBOR_3M
2013-02-27,3.81,3.81,3.81,3.81,WIBOR_1M
2013-02-27,3.59,3.59,3.59,3.59,WIBID_ON
2013-02-26,3.86,3.86,3.86,3.86,WIBOR_ON
2013-02-26,3.69,3.69,3.69,3.69,WIBOR_6M
2013-02-26,3.74,3.74,3.74,3.74,WIBOR_3M
2013-02-26,3.81,3.81,3.81,3.81,WIBOR_1M
2013-02-26,3.59,3.59,3.59,3.59,WIBID_ON
2013-02-25,3.86,3.86,3.86,3.86,WIBOR_ON
2013-02-25,3.7,3.7,3.7,3.7,WIBOR_6M
2013-02-25,3.75,3.75,3.75,3.75,WIBOR_3M
2013-02-25,3.82,3.82,3.82,3.82,WIBOR_1M
2013-02-25,3.57,3.57,3.57,3.57,WIBID_ON
2013-02-22,3.85,3.85,3.85,3.85,WIBOR_ON
2013-02-22,3.7,3.7,3.7,3.7,WIBOR_6M
2013-02-22,3.75,3.75,3.75,3.75,WIBOR_3M
2013-02-22,3.81,3.81,3.81,3.81,WIBOR_1M
2013-02-22,3.56,3.56,3.56,3.56,WIBID_ON
2013-02-21,3.84,3.84,3.84,3.84,WIBOR_ON
2013-02-21,3.7,3.7,3.7,3.7,WIBOR_6M
2013-02-21,3.75,3.75,3.75,3.75,WIBOR_3M
2013-02-21,3.81,3.81,3.81,3.81,WIBOR_1M
2013-02-21,3.55,3.55,3.55,3.55,WIBID_ON
2013-02-20,3.84,3.84,3.84,3.84,WIBOR_ON
2013-02-20,3.71,3.71,3.71,3.71,WIBOR_6M
2013-02-20,3.75,3.75,3.75,3.75,WIBOR_3M
2013-02-20,3.82,3.82,3.82,3.82,WIBOR_1M
2013-02-20,3.57,3.57,3.57,3.57,WIBID_ON
2013-02-19,3.88,3.88,3.88,3.88,WIBOR_ON
2013-02-19,3.72,3.72,3.72,3.72,WIBOR_6M
2013-02-19,3.76,3.76,3.76,3.76,WIBOR_3M
2013-02-19,3.83,3.83,3.83,3.83,WIBOR_1M
2013-02-19,3.59,3.59,3.59,3.59,WIBID_ON
2013-02-18,3.89,3.89,3.89,3.89,WIBOR_ON
2013-02-18,3.75,3.75,3.75,3.75,WIBOR_6M
2013-02-18,3.79,3.79,3.79,3.79,WIBOR_3M
2013-02-18,3.84,3.84,3.84,3.84,WIBOR_1M
2013-02-18,3.6,3.6,3.6,3.6,WIBID_ON
2013-02-15,3.9,3.9,3.9,3.9,WIBOR_ON
2013-02-15,3.75,3.75,3.75,3.75,WIBOR_6M
2013-02-15,3.79,3.79,3.79,3.79,WIBOR_3M
2013-02-15,3.85,3.85,3.85,3.85,WIBOR_1M
2013-02-15,3.6,3.6,3.6,3.6,WIBID_ON
2013-02-14,3.89,3.89,3.89,3.89,WIBOR_ON
2013-02-14,3.75,3.75,3.75,3.75,WIBOR_6M
2013-02-14,3.8,3.8,3.8,3.8,WIBOR_3M
2013-02-14,3.85,3.85,3.85,3.85,WIBOR_1M
2013-02-14,3.6,3.6,3.6,3.6,WIBID_ON
2013-02-13,3.9,3.9,3.9,3.9,WIBOR_ON
2013-02-13,3.76,3.76,3.76,3.76,WIBOR_6M
2013-02-13,3.8,3.8,3.8,3.8,WIBOR_3M
2013-02-13,3.85,3.85,3.85,3.85,WIBOR_1M
2013-02-13,3.6,3.6,3.6,3.6,WIBID_ON
2013-02-12,3.9,3.9,3.9,3.9,WIBOR_ON
2013-02-12,3.76,3.76,3.76,3.76,WIBOR_6M
2013-02-12,3.8,3.8,3.8,3.8,WIBOR_3M
2013-02-12,3.86,3.86,3.86,3.86,WIBOR_1M
2013-02-12,3.6,3.6,3.6,3.6,WIBID_ON
2013-02-11,3.9,3.9,3.9,3.9,WIBOR_ON
2013-02-11,3.77,3.77,3.77,3.77,WIBOR_6M
2013-02-11,3.81,3.81,3.81,3.81,WIBOR_3M
2013-02-11,3.87,3.87,3.87,3.87,WIBOR_1M
2013-02-11,3.6,3.6,3.6,3.6,WIBID_ON
2013-02-08,3.9,3.9,3.9,3.9,WIBOR_ON
2013-02-08,3.78,3.78,3.78,3.78,WIBOR_6M
2013-02-08,3.82,3.82,3.82,3.82,WIBOR_3M
2013-02-08,3.88,3.88,3.88,3.88,WIBOR_1M
2013-02-08,3.6,3.6,3.6,3.6,WIBID_ON
2013-02-07,3.92,3.92,3.92,3.92,WIBOR_ON
2013-02-07,3.8,3.8,3.8,3.8,WIBOR_6M
2013-02-07,3.84,3.84,3.84,3.84,WIBOR_3M
2013-02-07,3.9,3.9,3.9,3.9,WIBOR_1M
2013-02-07,3.62,3.62,3.62,3.62,WIBID_ON
2013-02-06,4,4,4,4,WIBOR_ON
2013-02-06,3.84,3.84,3.84,3.84,WIBOR_6M
2013-02-06,3.88,3.88,3.88,3.88,WIBOR_3M
2013-02-06,3.93,3.93,3.93,3.93,WIBOR_1M
2013-02-06,3.7,3.7,3.7,3.7,WIBID_ON
2013-02-05,4.07,4.07,4.07,4.07,WIBOR_ON
2013-02-05,3.88,3.88,3.88,3.88,WIBOR_6M
2013-02-05,3.92,3.92,3.92,3.92,WIBOR_3M
2013-02-05,3.99,3.99,3.99,3.99,WIBOR_1M
2013-02-05,3.78,3.78,3.78,3.78,WIBID_ON
2013-02-04,4.1,4.1,4.1,4.1,WIBOR_ON
2013-02-04,3.89,3.89,3.89,3.89,WIBOR_6M
2013-02-04,3.93,3.93,3.93,3.93,WIBOR_3M
2013-02-04,4,4,4,4,WIBOR_1M
2013-02-04,3.81,3.81,3.81,3.81,WIBID_ON
2013-02-01,4.1,4.1,4.1,4.1,WIBOR_ON
2013-02-01,3.9,3.9,3.9,3.9,WIBOR_6M
2013-02-01,3.94,3.94,3.94,3.94,WIBOR_3M
2013-02-01,4.01,4.01,4.01,4.01,WIBOR_1M
2013-02-01,3.8,3.8,3.8,3.8,WIBID_ON
2013-01-31,4.1,4.1,4.1,4.1,WIBOR_ON
2013-01-31,3.91,3.91,3.91,3.91,WIBOR_6M
2013-01-31,3.95,3.95,3.95,3.95,WIBOR_3M
2013-01-31,4.03,4.03,4.03,4.03,WIBOR_1M
2013-01-31,3.81,3.81,3.81,3.81,WIBID_ON
2013-01-30,4.14,4.14,4.14,4.14,WIBOR_ON
2013-01-30,3.92,3.92,3.92,3.92,WIBOR_6M
2013-01-30,3.96,3.96,3.96,3.96,WIBOR_3M
2013-01-30,4.04,4.04,4.04,4.04,WIBOR_1M
2013-01-30,3.86,3.86,3.86,3.86,WIBID_ON
2013-01-29,3.83,3.83,3.83,3.83,WIBOR_ON
